Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 26
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;00:15;2019-10-01T00:15:00+02:00;3915;834;;7;0;303;-50;81;2727;21.3;25.44;;;0.18;14.58;0.0;0.0;7.74;9.27;2.07;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;02:00;2019-10-01T02:00:00+02:00;3568;567;;4;0;246;-50;83;2706;15.89;17.3;;;0.11;8.33;0.0;0.0;6.89;7.53;2.33;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;03:45;2019-10-01T03:45:00+02:00;3218;551;;3;0;353;-50;88;2261;17.12;16.81;;;0.09;6.25;0.0;0.0;10.97;10.8;2.73;30.03;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;04:45;2019-10-01T04:45:00+02:00;3163;561;;3;0;415;0;79;2090;17.74;17.11;;;0.09;6.25;0.0;0.0;13.12;12.7;2.5;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;07:15;2019-10-01T07:15:00+02:00;3893;860;;1;0;549;0;89;2380;22.09;26.24;;;0.03;2.08;0.0;0.0;14.1;16.8;2.29;30.38;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;07:45;2019-10-01T07:45:00+02:00;3976;877;;1;21;615;0;79;2383;22.06;26.75;;;0.03;2.08;0.53;1.63;15.47;18.82;1.99;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;08:30;2019-10-01T08:30:00+02:00;4079;847;;2;100;615;0;88;2427;20.76;25.84;;;0.05;4.17;2.45;7.75;15.08;18.82;2.16;30.03;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;09:15;2019-10-01T09:15:00+02:00;4203;866;;3;281;642;0;79;2332;20.6;26.42;;;0.07;6.25;6.69;21.78;15.27;19.65;1.88;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;11:30;2019-10-01T11:30:00+02:00;4456;828;;4;659;471;0;78;2417;18.58;25.26;;;0.09;8.33;14.79;51.09;10.57;14.41;1.75;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;11:45;2019-10-01T11:45:00+02:00;4423;824;;5;732;374;0;79;2409;18.63;25.14;;;0.11;10.42;16.55;56.74;8.46;11.44;1.79;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;13:00;2019-10-01T13:00:00+02:00;4515;839;;6;738;237;-50;80;2666;18.58;25.59;;;0.13;12.5;16.35;57.21;5.25;7.25;1.77;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;14:00;2019-10-01T14:00:00+02:00;4589;834;;8;720;205;-50;85;2789;18.17;25.44;;;0.17;16.67;15.69;55.81;4.47;6.27;1.85;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;14:45;2019-10-01T14:45:00+02:00;4459;829;;9;649;202;-50;77;2743;18.59;25.29;;;0.2;18.75;14.55;50.31;4.53;6.18;1.73;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;15:15;2019-10-01T15:15:00+02:00;4370;823;;9;614;198;-51;75;2702;18.83;25.11;;;0.21;18.75;14.05;47.6;4.53;6.06;1.72;25.6;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;16:00;2019-10-01T16:00:00+02:00;4212;827;;8;467;175;-51;78;2708;19.63;25.23;;;0.19;16.67;11.09;36.2;4.15;5.35;1.85;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;16:15;2019-10-01T16:15:00+02:00;4257;886;;9;469;174;-51;79;2689;20.81;27.03;;;0.21;18.75;11.02;36.36;4.09;5.32;1.86;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;17:15;2019-10-01T17:15:00+02:00;4171;828;;9;332;182;0;78;2741;19.85;25.26;;;0.22;18.75;7.96;25.74;4.36;5.57;1.87;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;18:15;2019-10-01T18:15:00+02:00;4158;811;;6;111;195;0;84;2950;19.5;24.74;;;0.14;12.5;2.67;8.6;4.69;5.97;2.02;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;18:45;2019-10-01T18:45:00+02:00;4241;874;;6;35;415;0;86;2826;20.61;26.66;;;0.14;12.5;0.83;2.71;9.79;12.7;2.03;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;19:15;2019-10-01T19:15:00+02:00;4478;842;;4;22;422;0;85;3103;18.8;25.69;;;0.09;8.33;0.49;1.71;9.42;12.91;1.9;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;20:45;2019-10-01T20:45:00+02:00;4180;829;;2;0;416;0;78;2835;19.83;25.29;;;0.05;4.17;0.0;0.0;9.95;12.73;1.87;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;21:15;2019-10-01T21:15:00+02:00;4046;846;;2;0;454;0;79;2645;20.91;25.81;;;0.05;4.17;0.0;0.0;11.22;13.89;1.95;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-01;21:30;2019-10-01T21:30:00+02:00;3996;827;;2;0;443;0;84;2620;20.7;25.23;;;0.05;4.17;0.0;0.0;11.09;13.56;2.1;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;02:15;2019-10-02T02:15:00+02:00;3640;558;;8;0;246;0;87;2727;15.33;17.02;;;0.22;16.67;0.0;0.0;6.76;7.53;2.39;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;03:00;2019-10-02T03:00:00+02:00;3310;528;;12;0;271;0;85;2401;15.95;16.11;;;0.36;25.0;0.0;0.0;8.19;8.29;2.57;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;06:00;2019-10-02T06:00:00+02:00;3389;477;;17;0;397;0;82;2402;14.07;14.55;;;0.5;35.42;0.0;0.0;11.71;12.15;2.42;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;07:00;2019-10-02T07:00:00+02:00;3823;849;;13;0;450;0;79;2418;22.21;25.9;;;0.34;27.08;0.0;0.0;11.77;13.77;2.07;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;07:30;2019-10-02T07:30:00+02:00;3763;872;;13;13;526;0;83;2256;23.17;26.6;;;0.35;27.08;0.35;1.01;13.98;16.1;2.21;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;08:00;2019-10-02T08:00:00+02:00;3938;888;;13;22;625;0;80;2310;22.55;27.09;;;0.33;27.08;0.56;1.71;15.87;19.12;2.03;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;09:15;2019-10-02T09:15:00+02:00;4158;929;;12;299;711;0;84;2122;22.34;28.34;;;0.29;25.0;7.19;23.18;17.1;21.76;2.02;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;09:45;2019-10-02T09:45:00+02:00;4212;920;;12;452;592;0;82;2154;21.84;28.07;;;0.28;25.0;10.73;35.04;14.06;18.12;1.95;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;10:15;2019-10-02T10:15:00+02:00;4284;933;;14;577;577;0;86;2097;21.78;28.46;;;0.33;29.17;13.47;44.73;13.47;17.66;2.01;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;11:15;2019-10-02T11:15:00+02:00;4440;928;;17;773;634;0;86;2003;20.9;28.31;;;0.38;35.42;17.41;59.92;14.28;19.4;1.94;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;14:30;2019-10-02T14:30:00+02:00;4507;663;;27;919;492;0;82;2325;14.71;20.23;;;0.6;56.25;20.39;71.24;10.92;15.06;1.82;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;15:30;2019-10-02T15:30:00+02:00;4315;668;;33;796;458;0;80;2281;15.48;20.38;;;0.76;68.75;18.45;61.71;10.61;14.01;1.85;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;20:00;2019-10-02T20:00:00+02:00;4546;844;;28;20;668;0;84;2902;18.57;25.75;;;0.62;58.33;0.44;1.55;14.69;20.44;1.85;28.67;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;20:30;2019-10-02T20:30:00+02:00;4367;826;;27;0;667;0;80;2752;18.91;25.2;;;0.62;56.25;0.0;0.0;15.27;20.41;1.83;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;22:45;2019-10-02T22:45:00+02:00;3913;870;;42;0;583;0;87;2317;22.23;26.54;;;1.07;87.5;0.0;0.0;14.9;17.84;2.22;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:00;2019-10-02T23:00:00+02:00;4206;855;;40;0;576;0;83;2638;20.33;26.08;;;0.95;83.33;0.0;0.0;13.69;17.63;1.97;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:15;2019-10-02T23:15:00+02:00;4508;841;;46;0;570;0;78;2960;18.66;25.66;;;1.02;95.83;0.0;0.0;12.64;17.44;1.73;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-02;23:45;2019-10-02T23:45:00+02:00;4265;854;;46;0;570;0;85;2695;20.02;26.05;;;1.08;95.83;0.0;0.0;13.36;17.44;1.99;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;03:45;2019-10-03T03:45:00+02:00;3235;570;;47;0;351;-51;82;2221;17.62;17.39;;;1.45;97.92;0.0;0.0;10.85;10.74;2.53;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;05:15;2019-10-03T05:15:00+02:00;3284;542;;46;0;361;0;82;2238;16.5;16.53;;;1.4;95.83;0.0;0.0;10.99;11.05;2.5;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:15;2019-10-03T06:15:00+02:00;3494;522;;44;0;380;0;79;2455;14.94;15.92;;;1.26;91.67;0.0;0.0;10.88;11.63;2.26;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:30;2019-10-03T06:30:00+02:00;3626;562;;49;0;370;0;83;2548;15.5;17.14;;;1.35;102.08;0.0;0.0;10.2;11.32;2.29;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;06:45;2019-10-03T06:45:00+02:00;3796;861;;47;0;377;0;81;2417;22.68;26.27;;;1.24;97.92;0.0;0.0;9.93;11.54;2.13;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;10:30;2019-10-03T10:30:00+02:00;4362;876;;46;650;631;0;78;2080;20.08;26.72;;;1.05;95.83;14.9;50.39;14.47;19.31;1.79;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;12:15;2019-10-03T12:15:00+02:00;4461;808;;37;901;586;0;79;2049;18.11;24.65;;;0.83;77.08;20.2;69.84;13.14;17.93;1.77;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;12:30;2019-10-03T12:30:00+02:00;4461;811;;42;895;597;0;87;2029;18.18;24.74;;;0.94;87.5;20.06;69.38;13.38;18.27;1.95;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;14:45;2019-10-03T14:45:00+02:00;4372;908;;39;886;670;0;79;1791;20.77;27.7;;;0.89;81.25;20.27;68.68;15.32;20.5;1.81;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;15:30;2019-10-03T15:30:00+02:00;4221;907;;39;788;716;0;78;1692;21.49;27.67;;;0.92;81.25;18.67;61.09;16.96;21.91;1.85;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;18:00;2019-10-03T18:00:00+02:00;4114;899;;26;174;645;0;87;2283;21.85;27.43;;;0.63;54.17;4.23;13.49;15.68;19.74;2.11;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;19:15;2019-10-03T19:15:00+02:00;4486;929;;22;21;797;0;80;2637;20.71;28.34;;;0.49;45.83;0.47;1.63;17.77;24.39;1.78;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;19:45;2019-10-03T19:45:00+02:00;4572;927;;24;19;979;0;83;2540;20.28;28.28;;;0.52;50.0;0.42;1.47;21.41;29.96;1.82;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;22:00;2019-10-03T22:00:00+02:00;3878;485;;22;0;582;0;86;2692;12.51;14.8;;;0.57;45.83;0.0;0.0;15.01;17.81;2.22;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;22:30;2019-10-03T22:30:00+02:00;3830;480;;23;0;581;0;81;2653;12.53;14.64;;;0.6;47.92;0.0;0.0;15.17;17.78;2.11;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;23:00;2019-10-03T23:00:00+02:00;4073;879;;18;0;553;0;86;2525;21.58;26.82;;;0.44;37.5;0.0;0.0;13.58;16.92;2.11;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-03;23:30;2019-10-03T23:30:00+02:00;4403;876;;18;0;474;-51;79;2995;19.9;26.72;;;0.41;37.5;0.0;0.0;10.77;14.5;1.79;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;00:45;2019-10-04T00:45:00+02:00;3580;495;;8;0;313;0;77;2674;13.83;15.1;;;0.22;16.67;0.0;0.0;8.74;9.58;2.15;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;02:30;2019-10-04T02:30:00+02:00;3621;122;;7;0;324;0;79;3078;3.37;3.72;;;0.19;14.58;0.0;0.0;8.95;9.91;2.18;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;03:00;2019-10-04T03:00:00+02:00;3442;122;;4;0;236;0;83;2985;3.54;3.72;;;0.12;8.33;0.0;0.0;6.86;7.22;2.41;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;04:00;2019-10-04T04:00:00+02:00;3242;122;;7;0;242;-49;85;2823;3.76;3.72;;;0.22;14.58;0.0;0.0;7.46;7.41;2.62;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;04:15;2019-10-04T04:15:00+02:00;3315;122;;5;0;249;0;82;2845;3.68;3.72;;;0.15;10.42;0.0;0.0;7.51;7.62;2.47;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;05:45;2019-10-04T05:45:00+02:00;3348;122;;3;0;252;0;78;2881;3.64;3.72;;;0.09;6.25;0.0;0.0;7.53;7.71;2.33;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;06:30;2019-10-04T06:30:00+02:00;3752;144;;3;0;374;0;83;3136;3.84;4.39;;;0.08;6.25;0.0;0.0;9.97;11.44;2.21;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;06:45;2019-10-04T06:45:00+02:00;3881;158;;3;0;469;0;78;3161;4.07;4.82;;;0.08;6.25;0.0;0.0;12.08;14.35;2.01;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;07:15;2019-10-04T07:15:00+02:00;3944;211;;3;0;680;0;83;2956;5.35;6.44;;;0.08;6.25;0.0;0.0;17.24;20.81;2.1;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;10:15;2019-10-04T10:15:00+02:00;4261;522;;2;526;579;0;77;2554;12.25;15.92;;;0.05;4.17;12.34;40.78;13.59;17.72;1.81;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;10:45;2019-10-04T10:45:00+02:00;4389;522;;2;670;518;0;86;2590;11.89;15.92;;;0.05;4.17;15.27;51.94;11.8;15.85;1.96;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;11:15;2019-10-04T11:15:00+02:00;4362;523;;3;718;625;0;79;2413;11.99;15.95;;;0.07;6.25;16.46;55.66;14.33;19.12;1.81;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;12:45;2019-10-04T12:45:00+02:00;4455;497;;2;768;586;0;79;2523;11.16;15.16;;;0.04;4.17;17.24;59.53;13.15;17.93;1.77;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;13:15;2019-10-04T13:15:00+02:00;4633;517;;2;690;322;0;86;3016;11.16;15.77;;;0.04;4.17;14.89;53.49;6.95;9.85;1.86;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;13:30;2019-10-04T13:30:00+02:00;4519;483;;3;681;314;0;85;2953;10.69;14.73;;;0.07;6.25;15.07;52.79;6.95;9.61;1.88;29.01;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;15:30;2019-10-04T15:30:00+02:00;4284;494;;9;582;261;-50;83;2905;11.53;15.07;;;0.21;18.75;13.59;45.12;6.09;7.99;1.94;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;15:45;2019-10-04T15:45:00+02:00;4150;342;;9;445;312;-50;79;3012;8.24;10.43;;;0.22;18.75;10.72;34.5;7.52;9.55;1.9;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;16:00;2019-10-04T16:00:00+02:00;4127;336;;10;390;311;-51;86;3045;8.14;10.25;;;0.24;20.83;9.45;30.23;7.54;9.52;2.08;29.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;18:30;2019-10-04T18:30:00+02:00;4105;505;;8;78;576;0;78;2860;12.3;15.41;;;0.19;16.67;1.9;6.05;14.03;17.63;1.9;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;19:00;2019-10-04T19:00:00+02:00;4202;520;;9;22;650;0;77;2923;12.38;15.86;;;0.21;18.75;0.52;1.71;15.47;19.89;1.83;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;19:30;2019-10-04T19:30:00+02:00;4473;515;;10;19;412;0;81;3435;11.51;15.71;;;0.22;20.83;0.42;1.47;9.21;12.61;1.81;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-04;20:15;2019-10-04T20:15:00+02:00;4300;502;;17;0;368;0;78;3317;11.67;15.31;;;0.4;35.42;0.0;0.0;8.56;11.26;1.81;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;00:15;2019-10-05T00:15:00+02:00;3918;522;;16;0;339;0;80;2949;13.32;15.92;;;0.41;33.33;0.0;0.0;8.65;10.37;2.04;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;00:45;2019-10-05T00:45:00+02:00;3631;525;;12;0;255;0;87;2740;14.46;16.02;;;0.33;25.0;0.0;0.0;7.02;7.8;2.4;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;06:00;2019-10-05T06:00:00+02:00;3204;369;;12;0;223;0;82;2506;11.52;11.26;;;0.37;25.0;0.0;0.0;6.96;6.82;2.56;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;07:00;2019-10-05T07:00:00+02:00;3348;408;;11;0;241;0;82;2595;12.19;12.45;;;0.33;22.92;0.0;0.0;7.2;7.37;2.45;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;08:00;2019-10-05T08:00:00+02:00;3412;534;;13;19;262;0;81;2502;15.65;16.29;;;0.38;27.08;0.56;1.47;7.68;8.02;2.37;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;10:30;2019-10-05T10:30:00+02:00;3927;862;;14;575;263;0;87;2126;21.95;26.3;;;0.36;29.17;14.64;44.57;6.7;8.05;2.22;29.69;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;12:30;2019-10-05T12:30:00+02:00;4193;812;;22;850;255;0;79;2174;19.37;24.77;;;0.52;45.83;20.27;65.89;6.08;7.8;1.88;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;15:15;2019-10-05T15:15:00+02:00;3998;856;;20;845;346;0;79;1852;21.41;26.11;;;0.5;41.67;21.14;65.5;8.65;10.59;1.98;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;15:30;2019-10-05T15:30:00+02:00;3990;853;;23;813;354;0;80;1867;21.38;26.02;;;0.58;47.92;20.38;63.02;8.87;10.83;2.01;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;16:45;2019-10-05T16:45:00+02:00;3796;871;;24;558;286;0;79;1978;22.95;26.57;;;0.63;50.0;14.7;43.26;7.53;8.75;2.08;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;17:15;2019-10-05T17:15:00+02:00;3798;870;;23;437;328;0;81;2058;22.91;26.54;;;0.61;47.92;11.51;33.88;8.64;10.04;2.13;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;19:30;2019-10-05T19:30:00+02:00;4235;987;;18;20;603;0;82;2524;23.31;30.11;;;0.43;37.5;0.47;1.55;14.24;18.45;1.94;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;21:00;2019-10-05T21:00:00+02:00;3943;1230;;23;0;448;0;81;2149;31.19;37.52;;;0.58;47.92;0.0;0.0;11.36;13.71;2.05;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-05;22:00;2019-10-05T22:00:00+02:00;3712;963;;18;0;346;0;83;2290;25.94;29.38;;;0.48;37.5;0.0;0.0;9.32;10.59;2.24;28.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;00:15;2019-10-06T00:15:00+02:00;3838;1249;;18;0;437;0;80;2044;32.54;38.1;;;0.47;37.5;0.0;0.0;11.39;13.37;2.08;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;00:30;2019-10-06T00:30:00+02:00;3735;1123;;19;0;435;0;80;2067;30.07;34.26;;;0.51;39.58;0.0;0.0;11.65;13.31;2.14;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;00:45;2019-10-06T00:45:00+02:00;3574;1042;;20;0;439;0;82;1980;29.16;31.79;;;0.56;41.67;0.0;0.0;12.28;13.43;2.29;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;01:15;2019-10-06T01:15:00+02:00;3589;1088;;22;0;304;0;81;2084;30.31;33.19;;;0.61;45.83;0.0;0.0;8.47;9.3;2.26;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;03:00;2019-10-06T03:00:00+02:00;3311;575;;21;0;193;0;82;2429;17.37;17.54;;;0.63;43.75;0.0;0.0;5.83;5.91;2.48;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;05:15;2019-10-06T05:15:00+02:00;3057;539;;20;0;209;-50;81;2247;17.63;16.44;;;0.65;41.67;0.0;0.0;6.84;6.4;2.65;27.65;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;08:45;2019-10-06T08:45:00+02:00;3415;857;;18;152;327;0;89;1973;25.1;26.14;;;0.53;37.5;4.45;11.78;9.58;10.01;2.61;30.38;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;10:15;2019-10-06T10:15:00+02:00;3755;888;;17;564;369;0;82;1835;23.65;27.09;;;0.45;35.42;15.02;43.72;9.83;11.29;2.18;27.99;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;12:30;2019-10-06T12:30:00+02:00;4104;837;;12;853;218;0;75;2109;20.39;25.53;;;0.29;25.0;20.78;66.12;5.31;6.67;1.83;25.6;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;13:30;2019-10-06T13:30:00+02:00;4044;879;;12;703;213;0;72;2165;21.74;26.82;;;0.3;25.0;17.38;54.5;5.27;6.52;1.78;24.57;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;18:00;2019-10-06T18:00:00+02:00;3702;1056;;13;86;280;0;72;2196;28.53;32.21;;;0.35;27.08;2.32;6.67;7.56;8.57;1.94;24.57;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;19:30;2019-10-06T19:30:00+02:00;4306;1214;;10;18;339;0;80;2644;28.19;37.03;;;0.23;20.83;0.42;1.4;7.87;10.37;1.86;27.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;21:30;2019-10-06T21:30:00+02:00;3746;921;;11;0;241;0;73;2488;24.59;28.1;;;0.29;22.92;0.0;0.0;6.43;7.37;1.95;24.91;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;22:30;2019-10-06T22:30:00+02:00;3679;707;;8;0;311;0;77;2565;19.22;21.57;;;0.22;16.67;0.0;0.0;8.45;9.52;2.09;26.28;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-06;23:45;2019-10-06T23:45:00+02:00;4145;1156;;16;0;248;0;72;2641;27.89;35.27;;;0.39;33.33;0.0;0.0;5.98;7.59;1.74;24.57;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;01:30;2019-10-07T01:30:00+02:00;3471;676;;19;0;201;0;78;2484;19.48;20.62;;;0.55;39.58;0.0;0.0;5.79;6.15;2.25;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;02:00;2019-10-07T02:00:00+02:00;3516;704;;18;0;204;0;74;2505;20.02;21.48;;;0.51;37.5;0.0;0.0;5.8;6.24;2.1;25.26;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;02:30;2019-10-07T02:30:00+02:00;3536;869;;19;0;204;0;76;2357;24.58;26.51;;;0.54;39.58;0.0;0.0;5.77;6.24;2.15;25.94;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;03:45;2019-10-07T03:45:00+02:00;3154;702;;24;0;189;-51;79;2199;22.26;21.42;;;0.76;50.0;0.0;0.0;5.99;5.78;2.5;26.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;04:30;2019-10-07T04:30:00+02:00;3110;688;;30;0;202;0;75;2103;22.12;20.99;;;0.96;62.5;0.0;0.0;6.5;6.18;2.41;25.6;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;06:00;2019-10-07T06:00:00+02:00;3369;1111;;29;0;318;0;72;1827;32.98;33.89;;;0.86;60.42;0.0;0.0;9.44;9.73;2.14;24.57;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;07:30;2019-10-07T07:30:00+02:00;4001;1071;;34;13;560;0;78;2245;26.77;32.67;;;0.85;70.83;0.32;1.01;14.0;17.14;1.95;26.62;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2019-10-07;07:45;2019-10-07T07:45:00+02:00;3900;1105;;37;13;485;0;79;2180;28.33;33.71;;;0.95;77.08;0.33;1.01;12.44;14.84;2.03;26.96;
